file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,baseline_rate_hz,n_epochs_per_size,pre_time_ms,spikes_pre_mean,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
012926A,2,SpotsMultiSize_Cell_attached_Current_clamp,3,10982,1,4273,Left,23.2222,3,500,11.3333333333333,5,1.22474487139159,6.66666666666667,2.04124145231931,439,1000,1000,012926Ac4,Sustained suppressed-by-contrast no surround EW27,ventral down,chow,4,890,58,DN
012926A,2,SpotsMultiSize_Cell_attached_Current_clamp,3,10982,1,4273,Left,23.2222,3,500,10.6666666666667,5,0.707106781186547,5.66666666666667,2.85773803324704,614,1000,1000,012926Ac4,Sustained suppressed-by-contrast no surround EW27,ventral down,chow,4,890,58,DN
012926A,2,SpotsMultiSize_Cell_attached_Current_clamp,3,10982,1,4273,Left,23.2222,3,500,13.6666666666667,4.33333333333333,1.08012344973464,4.66666666666667,0.408248290463863,858,1000,1000,012926Ac4,Sustained suppressed-by-contrast no surround EW27,ventral down,chow,4,890,58,DN
012926A,2,SpotsMultiSize_Cell_attached_Current_clamp,3,10982,1,4273,Left,23.2222,3,500,13,4,0.707106781186547,3.33333333333333,1.63299316185545,1200,1000,1000,012926Ac4,Sustained suppressed-by-contrast no surround EW27,ventral down,chow,4,890,58,DN
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,4.33333333333333,11.3333333333333,2.04124145231931,11,1.41421356237309,30,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,5.66666666666667,10,4.30116263352131,10.6666666666667,2.48327740429189,42,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,5,8.66666666666667,3.62859017617954,11.3333333333333,4.32049379893857,59,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,3.66666666666667,7.66666666666667,1.77951304200522,7.33333333333333,3.89444048184931,82,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,2.66666666666667,8,1.41421356237309,12,1.87082869338697,115,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,2.66666666666667,5.33333333333333,2.16024689946929,15.6666666666667,0.816496580927726,160,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,3.33333333333333,0.666666666666667,0.816496580927726,30.3333333333333,2.27303028283098,224,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,3.33333333333333,0.333333333333333,0.408248290463863,29,2.54950975679639,314,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,3.66666666666667,0,0,28.6666666666667,3.18852107828483,439,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,4.33333333333333,0.666666666666667,0.816496580927726,16,1.22474487139159,614,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
012926A,3,SpotsMultiSize_Cell_attached_Current_clamp,4,10977,1,4273,Left,8.05556,3,500,5,0.666666666666667,0.816496580927726,18,2.54950975679639,858,1000,1000,012926Ac14,OFF vertical OS - asymmetric,ventral down,chow,14,-1742,-619,VT
