file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,117.802842237994,18.5836575578619,14.4136060950024,15.377437075438,1101.74,20,1088.91339450638,3,555.599390104899,8.64855643924155,261.573545930633,40.3808007834862,500,50000,59,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,245.418880867472,30.6931189519869,22.6152479578414,26.7481377554969,1101.74,20,1069.42041616288,3,784.667546312772,55.3869088894439,383.301932291208,38.8054753038644,500,50000,82,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,381.99292111391,20.7301569919936,9.76955008025053,17.3169311514492,1101.74,20,1129.74562437989,3,1079.88954414122,97.4435412643834,536.10587880447,40.7165756313959,500,50000,115,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,640.725552846764,6.36289348004533,27.6231697676671,21.5219721470605,1101.74,20,1054.39277911111,3,1409.25075588111,84.6857736515622,846.962358041044,28.2382878384364,500,50000,160,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,631.488389018505,46.3702316020312,44.3650371769021,18.8932924800241,1101.74,20,1095.48261716619,3,1330.48201662085,14.2471370528436,944.273716751447,25.7761312512639,500,50000,224,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,346.750551644116,20.5242747123498,0.197426038749007,24.6367123925014,1101.74,20,1084.57684320053,3,935.18312399567,101.291978347168,605.735661785095,18.2344290318317,500,50000,314,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,201.918378227839,10.3612372229044,4.87976583272512,14.3195793054119,1101.74,20,1052.33184754217,3,665.848613198768,31.5115905658428,365.081906283422,63.5468972799118,500,50000,439,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,151.38342790844,24.9881289555163,-48.4897576059299,15.1931191163803,1101.74,20,1098.05878414785,3,650.608824326006,128.680836682353,265.429939541386,34.3982360189149,500,50000,614,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,137.106409900307,58.1653311754823,-59.5483201360356,57.1810670286025,1101.74,20,1121.2013128345,3,642.361641071856,108.953335037391,290.758691177589,65.4083893957957,500,50000,858,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,11,11041,1,4274,Left,109.538855514439,19.1464659936795,-94.3726487266791,31.6494926364917,1101.74,20,1145.50312823272,3,568.509797582031,55.3547946440032,236.399830251772,123.813271390591,500,50000,1200,1000,1000,020526Ac3,ON alpha,ventral down,chow,3,2347,-1620,VN
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,22.8211897264185,26.1364031892958,-1.16480400858533,12.4054788451644,694.391,20,685.069562028534,3,216.117996500285,35.5198014762525,191.966356422063,31.0713491947258,500,50000,30,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,45.2444665076834,38.6633939129815,8.45733243664025,24.1455414078016,694.391,20,687.431054105985,3,246.554217234299,57.913465903921,242.475273605039,27.5984250733545,500,50000,42,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,58.4434413673441,53.980640264127,34.0234852037469,20.5591893547415,694.391,20,711.36801656948,3,262.177137683001,90.3861478287783,261.31841476501,29.4033269763029,500,50000,59,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
021026A,3,SpotsMultiSize_Whole_cell_Current_clamp,18,11097,1,4277,Left,95.8562901654967,104.782811002515,24.2952452895391,43.2564179885044,694.391,20,717.915785341756,3,289.361903481005,148.835193712061,230.646620016568,110.903674089051,500,50000,82,1000,1000,021026Ac6,ON alpha,ventral down,HFD,6,-440,334,DT
