ON_mean,ON_std,OFF_mean,OFF_std,size_bin,cell_type
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,10,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,11.026362606387,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,12.1580672327529,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,13.4059257901165,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,14.7818598836139,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,16.2990147073531,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,17.971884629011,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,19.8164516639627,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,21.8503381618793,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,24.0929751645056,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,26.5657880430514,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,29.2924011887103,EW1no
7.82037037037037,6.0299160389226,15.0574074074074,11.2000747287164,32.298863711848,EW1no
7.9037037037037,6.05019190414477,15.2240740740741,11.4472293394404,35.613898306111,EW1no
6.3037037037037,5.67796899259766,16.1842592592593,12.1834164480712,39.269175655017,EW1no
6.3037037037037,5.67796899259766,16.1842592592593,12.1834164480712,43.299617002612,EW1no
5.99814814814815,5.61499477324409,16.5731481481481,12.8294329938654,47.7437277788478,EW1no
5.36759259259259,4.94064929256254,21.3046296296296,13.2820629519659,52.6439654670205,EW1no
5.61759259259259,5.87510665241039,21.137962962963,13.1503793597651,58.0471452277481,EW1no
5.67314814814815,5.80312384573326,21.6287037037037,13.9606049431116,64.0048871546755,EW1no
3.54074074074074,5.20926218297009,25.1231481481481,15.3474712516394,70.5741094348331,EW1no
3.20740740740741,4.23784005218646,25.4842592592593,15.5403927325461,77.8175721251304,EW1no
3.47592592592593,4.31201097339897,25.4287037037037,14.4469502916904,85.8044767400358,EW1no
3.55925925925926,4.42443535122809,25.2898148148148,14.2677972097514,94.611127378693,EW1no
2.57407407407407,4.58657540315547,28.25,14.6445075474455,104.321659707653,EW1no
3.40740740740741,7.52994506099754,29.0833333333333,15.193549757985,115.028844763669,EW1no
3.40740740740741,7.52994506099754,29.0833333333333,15.193549757985,126.834975255801,EW1no
3.01388888888889,7.40673216557403,31.412037037037,15.7129185907352,139.852842834258,EW1no
3.01388888888889,7.40673216557403,31.0787037037037,15.4808671768595,154.206815662458,EW1no
3.01388888888889,7.40673216557403,31.0787037037037,15.4808671768595,170.034026587053,EW1no
3.1712962962963,7.81194787446248,29.125,14.8521650123999,187.485683257289,EW1no
2.47222222222222,7.47397445256853,25.837037037037,12.3097383675806,206.728512710108,EW1no
1.97222222222222,5.56049616914344,25.6703703703704,12.1474432549625,227.946354222072,EW1no
1.94444444444444,5.56952492077531,25.3,12.2493057026135,251.341915645649,EW1no
1.93703703703704,6.53373236965566,24.6768518518519,11.0289979322024,277.138710009285,EW1no
1.93703703703704,6.53373236965566,24.6768518518519,11.0289979322024,305.58319088287,EW1no
1.9462962962963,6.53144369320457,25.2138888888889,11.0297403219037,336.947106909128,EW1no
2.16851851851852,7.34949620097416,24.8527777777778,10.669696643794,371.530097995308,EW1no
2.11574074074074,7.3598639343024,25.5398148148148,10.874105986675,409.662557968275,EW1no
2.15277777777778,7.23125534893967,25.4657407407407,11.0115009279844,451.708791041821,EW1no
2.15277777777778,7.23125534893967,25.4657407407407,11.0115009279844,498.070492251979,EW1no
2.60185185185185,8.85857268945783,26.2361111111111,11.387136203411,549.190585111197,EW1no
2.58333333333333,8.86320328938807,26.1990740740741,11.4073827605271,605.557453144988,EW1no
2.58333333333333,8.86320328938807,26.1990740740741,11.4073827605271,667.709605737682,EW1no
2.18981481481481,6.75516055185487,26.1111111111111,12.8118613343133,736.240822863135,EW1no
2.20833333333333,6.750226938814,26.2592592592593,12.7523190537679,811.805827851363,EW1no
2.29166666666667,7.10059891149759,26.5092592592593,12.9248041694147,895.126542386727,EW1no
2.29166666666667,7.10059891149759,26.5092592592593,12.9248041694147,986.998983495745,EW1no
2.0787037037037,4.6942873276875,27.3601851851852,14.1042536796214,1088.30086841594,EW1no
2.0787037037037,4.6942873276875,27.3601851851852,14.1042536796214,1200,EW1no
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,10,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,11.026362606387,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,12.1580672327529,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,13.4059257901165,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,14.7818598836139,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,16.2990147073531,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,17.971884629011,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,19.8164516639627,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,21.8503381618793,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,24.0929751645056,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,26.5657880430514,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,29.2924011887103,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,32.298863711848,EW3o
18.9074074074074,16.7654077375093,20.8240740740741,15.5853633060868,35.613898306111,EW3o
16.6666666666667,13.677904424452,20.1018518518519,15.088154028088,39.269175655017,EW3o
15.537037037037,14.9990804759311,27.6759259259259,15.7746964909857,43.299617002612,EW3o
15.537037037037,14.9990804759311,27.6759259259259,15.7746964909857,47.7437277788478,EW3o
14.1851851851852,15.9111452998546,30.8981481481481,16.0821339026946,52.6439654670205,EW3o
14.1851851851852,15.9111452998546,30.8981481481481,16.0821339026946,58.0471452277481,EW3o
14.1851851851852,15.9111452998546,30.8981481481481,16.0821339026946,64.0048871546755,EW3o
10.6851851851852,11.5976214169486,32.0462962962963,17.0197552244806,70.5741094348331,EW3o
10.6851851851852,11.5976214169486,32.0462962962963,17.0197552244806,77.8175721251304,EW3o
10.6851851851852,11.5976214169486,32.0462962962963,17.0197552244806,85.8044767400358,EW3o
10.6851851851852,11.5976214169486,32.0462962962963,17.0197552244806,94.611127378693,EW3o
10.7407407407407,14.9962636807545,37.8240740740741,18.1360811167023,104.321659707653,EW3o
10.7407407407407,14.9962636807545,37.8240740740741,18.1360811167023,115.028844763669,EW3o
10.7407407407407,14.9962636807545,37.8240740740741,18.1360811167023,126.834975255801,EW3o
9.03703703703704,14.1655704913596,40.9537037037037,17.330183563531,139.852842834258,EW3o
