file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,cell_number,x,y,quadrant
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-540.97198578794,NaN,-28.4054349424269,NaN,-139.458,-60,-165.971490163059,1,-1182.94655836978,NaN,-681.016413712549,NaN,500,10000,115,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-566.549997109252,NaN,-27.9245426875834,NaN,-139.458,-60,-153.407133029363,1,-1349.07880029205,NaN,-720.860642366334,NaN,500,10000,160,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-431.1755365681,NaN,-29.974497253732,NaN,-139.458,-60,-118.613528600393,1,-1363.73231102294,NaN,-599.883512993148,NaN,500,10000,224,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-289.821032446202,NaN,-9.43721760887144,NaN,-139.458,-60,-127.634092721344,1,-1360.8389686932,NaN,-509.361821141658,NaN,500,10000,314,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-223.595011805968,NaN,-8.77475370898686,NaN,-139.458,-60,-138.909797862409,1,-1011.37379168174,NaN,-360.604398111564,NaN,500,10000,439,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-180.573493708316,NaN,-3.5331616360974,NaN,-139.458,-60,-144.0644059235,1,-1113.50312347684,NaN,-261.703961931738,NaN,500,10000,614,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-53.721647173557,NaN,1.76561464501515,NaN,-139.458,-60,-155.662274054048,1,-675.394084146243,NaN,-102.266070398564,NaN,500,10000,858,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020222B,2,SpotsMultiSize,2,2091,1,1454,Right,-22.6224149659151,NaN,5.64719529756489,NaN,-139.458,-60,-132.466537783108,1,-271.391983365022,NaN,-115.787251881736,NaN,500,10000,1200,1000,1000,020222Bc1,ON alpha,ventral down,1,1012,-751,VT
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-38.4703307315461,3.906115227808,-18.2681968062068,6.96729160918529,-367.798,-60,-340.519595664256,3,-186.30334889491,10.1306294757595,-135.681324030406,6.1937009204319,500,50000,30,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-62.8474263394297,3.18282754703989,-7.21746005039333,1.41840794359701,-367.798,-60,-372.593067764726,3,-226.730040415334,5.93503314586177,-156.099634569012,7.01201965177456,500,50000,42,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
