inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
-127.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-91.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-55.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-18.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
18.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
55.0,12.8,9.864076236526158,HD2,011323Ac8,6912,MultiPulse,011323A,4
91.0,26.0,11.247221879201993,HD2,011323Ac8,6912,MultiPulse,011323A,4
127.0,50.4,9.257429448826494,HD2,011323Ac8,6912,MultiPulse,011323A,4
164.0,65.6,10.56882207249228,HD2,011323Ac8,6912,MultiPulse,011323A,4
200.0,85.6,10.756393447619885,HD2,011323Ac8,6912,MultiPulse,011323A,4
-150.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-123.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-95.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-68.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-41.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-14.0,0.0,0.0,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
14.0,4.0,1.224744871391589,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
41.0,24.4,1.4832396974191324,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
68.0,33.2,2.7928480087537886,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
95.0,41.6,2.16794833886788,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
123.0,54.8,2.4083189157584592,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
150.0,53.2,3.209361307176242,Local edge detector,011323Ac9,6914,MultiPulse,011323A,6
-200.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
-164.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
-127.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
-91.0,0.0,0.0,Local edge detector,011323Ac2,6915,MultiPulse,011323A,7
