file_name,dataset_name,source_id,cell_unid,animal_id,file_name_1,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,file_name_2,file_name_3,file_name_4,file_name_5,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
062425B,MultiPulse_Whole_cell,8,10715,3710,062425B,52.1904,500,6.08888,500,-53.2115,062425Bc6,OFF transient alpha,062425B,062425B,062425B,062425B,12715.5484484497,299.742,43.0345343813417,-2.90522128363138,-57.7266264668267,666.333333333333,101.358467857143,22.75,0.44,0.635986726581995,0.0649306948055399,-6.05860851132451,2.6175807701299,58.36,39,256.11958731372,57.2356084218688,-53.2114802025489,NaN,22.3333333333333,7079.48991892624,-51.5303577394153
070725B,MultiPulse_whole_cell,5,10735,3860,070725B,62.8862,500,4.38142,500,-58.0311,070725Bc1,ON alpha,070725B,070725B,070725B,070725B,36053.9919740238,500,56.0628065614094,1.35806921906679,-58.1669159464984,343.516133333333,255.751089583333,48.8333333333333,0.36,0.162978567589803,0.911948457633737,-6.88413995480263,1.28968987697086,427.2,98,380.152343520105,59.7483962400112,-58.0310747449485,NaN,4,20562.9933252494,-58.7360706176554
070725B,MultiPulse_whole_cell_2,8,10736,3860,070725B,63.0151,500,6.41104,500,-54.2862,070725Bc2,OFF transient alpha,070725B,070725B,070725B,070725B,32594.7330786611,500,53.704573315093,4.40787906633516,-58.0487894974149,999,231.910619807692,32.1833333333333,0.326666666666667,0.901242527788963,0.111251992551236,-6.01636240801906,1.37966437257638,165.1,62,357.60093416107,45.7276504843919,-54.2861525627457,NaN,12.7333333333333,14763.2823408783,-56.2339377975425
070725B,MultiPulse_Whole_cell,9,10738,3860,070725B,56.0886,500,7.53862,500,-56.3282,070725Bc4,ON-OFF DS - nasal,070725B,070725B,070725B,070725B,6.8924833776125,300,39.2877787024047,3.08701071133335,-54.6553389971487,999,104.680726617647,42.1,0.766666666666667,0.0914644759330856,0.55834431116966,-6.27403529155256,0.789618097329996,145.82,85,180.41128173209,143.914114477262,-56.3282263929175,NaN,0.4,9.96090357108116,-53.9036252860626
070725B,MultiPulse_whole_cell_2,7,10741,3860,070725B,53.9623,500,13.4664,500,-55.0196,070725Bc7,ON transient small RF,070725B,070725B,070725B,070725B,26.0761265468699,300,32.1744195099371,6.27642454941796,-56.448713146842,14.7162,90.8125315789474,33.1666666666667,0,0.17186393884509,0.386442169208167,0.00918454772318,0.742915858419284,211.72,73,53.15689832447,127.672208624163,-55.0196218481038,NaN,0,33.4888748468753,-54.9345469501833
070725B,MultiPulse_Whole_cell,10,10742,3860,070725B,61.8553,500,9.82597,500,-59.2406,070725Bc8,ON transient medium RF,070725B,070725B,070725B,070725B,13.0635990859641,300,28.8400325109733,12.9022439635996,-60.4113183385384,48.6219,134.795013636364,20.1666666666667,0,0.346144485222299,0.103571039194787,-4.26387792475432,0.504395533834875,53.5,41,37.0487479252152,113.198529920897,-59.2405663283378,NaN,0,14.6936321309505,-59.5951720070513
100625B,MultiPulse_CC_Whole_cell,3,10835,3617,100625B,60.019,500,11.5657,500,-48.8161,100625Bc1,ON-OFF DS - dorsal,100625B,100625B,100625B,100625B,6686.18885200637,167.147,52.7058680192457,7.76911319085015,-53.5170296623972,274.643,68.0432071111111,27.2444444444444,0.866666666666667,0.0723275429483567,0.0205604408910011,-4.79949074560871,0.177011821698605,31.36,48,130.476016883179,110.425837902429,-48.8160669730006,NaN,19.6444444444444,7306.33434737331,-43.7554904049874
100325B,MultiPulse_Whole_cell_CC,4,10837,3591,100325B,62.854,500,13.2087,500,-50.577,100325Bc4,ON alpha,100325B,100325B,100325B,100325B,32.8324589732367,359.843,54.6903922028606,11.3666002304952,-52.3465040304941,672.212666666667,160.229468181818,29.0555555555556,0.553333333333333,0.293718150613818,0.34166735134121,-9.80173414281222,1.52864448770495,104.18,57,288.335888487875,71.8069745862776,-50.57697926064,NaN,18.8888888888889,23.8553812829038,-51.1008070367166
100325B,MultiPulse_Whole_cell_CC,5,10838,3591,100325B,55.9597,500,9.89041,500,-55.1742,100325Bc5,ON transient small RF,100325B,100325B,100325B,100325B,23.9385313259755,124.764,45.4013586687693,4.36492400002486,-55.3533589031247,205.001666666667,47.5132489814815,24.1111111111111,0.6,0.168690343556443,0.334226817282532,-1.84618690271539,0.472668097909752,108.7,49,149.80579675733,165.267368030441,-55.1741937426605,NaN,0.444444444444444,39.3349093736879,-53.8284539527152
100925B,MultiPulse_CC_Whole_cell,2,10842,3592,100925B,62.0969,500,13.4342,500,-53.5678,100925Bc3,ON transient medium RF,100925B,100925B,100925B,100925B,14.2739294266859,300,40.6172401915795,6.37058124380319,-53.5034182181563,343.737933333333,121.84515625,27,0,0.0906779289293659,0.173625543170225,-5.0593291373991,0.28794261586355,70.92,55,10.4703010635497,100.391688899779,-53.5677821039876,NaN,0,14.3884527989456,-53.6054365358855
