file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,540.326469781921,16.0382821159897,21.4863428469591,8.05489481215477,1116.66,20,1088.87046375535,3,1430.06965032046,70.1206735682759,622.488198253344,17.6481838857633,500,50000,59,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,756.603897009184,10.1126853184546,18.4877371448327,3.63115894860757,1116.66,20,1171.52242085762,3,1756.54706392038,16.7662381547156,842.013274166662,150.118115748711,500,50000,82,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,1020.4139543447,34.2531749998133,61.9217909878912,10.5343621979572,1116.66,20,1092.26241874833,3,2260.52345589721,86.2472056523058,991.899327611462,21.3857755986249,500,50000,115,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,1112.52344834856,19.333455818244,73.9078605154222,7.30359709961614,1116.66,20,1098.31640778772,3,2341.1263281401,50.7764308449975,1180.52931132805,66.3061044417905,500,50000,160,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,1147.55351229004,39.3055616766077,87.1533245892061,19.324224893796,1116.66,20,1141.98240403562,3,2417.75048741323,109.260400657798,1045.82358554125,55.0340571272706,500,50000,224,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,1032.93015352735,18.6980322596066,171.048088646678,10.7038770517471,1116.66,20,1103.16817855625,3,2418.21983644713,93.3146032025978,1040.02416441096,23.5027150684352,500,50000,314,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,772.007712179436,31.5785336232815,151.675201858976,34.5653010753962,1116.66,20,1123.56282048174,3,2310.63494220046,53.8794989388121,857.644406990474,36.0096116749567,500,50000,439,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,671.204770011845,12.5635173869146,98.4535354163003,42.3908964101935,1116.66,20,1125.28027023332,3,2244.44722110284,51.0290701068533,806.827360459057,75.9422352972296,500,50000,614,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,649.787189453211,66.5874297655907,58.4645422542635,36.1741649837541,1116.66,20,1127.47000602897,3,2224.26398111529,42.7363738206112,703.906296140243,110.116667658608,500,50000,858,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,682.041811416894,60.3234450479895,115.321924770124,46.5476282333734,1116.66,20,1120.04206853558,3,2258.79429903136,179.94764504299,835.944385324497,15.6103622505985,500,50000,1200,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,0.0874006757226423,4.43005688252958,-7.0702837683483,3.60823258904713,-422.14,-65,-404.107492979955,3,-51.1887029366123,11.749520305841,-70.303707788515,8.4565268892787,500,50000,30,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,-1.21157773525396,1.59058740403052,-1.25288332848434,2.90811164891792,-422.14,-65,-446.418234069023,3,-64.1066575518502,12.7619223069864,-76.1340763439262,24.1488079096535,500,50000,42,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,16.2085533487701,15.0905028296271,10.404494752291,17.4624073476044,-422.14,-65,-457.586551500038,3,62.9467247809888,17.3407384973021,-62.2672958251372,40.0990413418373,500,50000,59,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,-0.738556537243631,1.959864733104,-5.9083277260365,0.867733637480463,-422.14,-65,-415.061035102441,3,-72.5131188429743,5.11446265809061,-99.5748111234083,35.9392620569148,500,50000,82,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,8.70279538403092,5.32902725321171,-20.3303712339266,4.15977361460031,-422.14,-65,-413.128057070705,3,63.0911568558163,12.6516024433663,-98.8494461062711,17.7539856423163,500,50000,115,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,27.2109396293623,1.72412431128602,-30.3121193595719,6.44501193899964,-422.14,-65,-434.605590623744,3,104.803722817188,3.26174059542792,-187.505508803204,33.4401371217842,500,50000,160,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,26.7444003605812,9.08053972948361,-59.3454019520285,5.86129697985939,-422.14,-65,-416.99401312217,3,117.008631970148,13.4792981101265,-224.05460096268,20.3902790280864,500,50000,224,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,28.8730859586823,9.08336759001803,-57.8846934321133,9.13795975824688,-422.14,-65,-425.370251200876,3,106.522879142172,13.2041650492695,-186.64545402039,33.1753466015109,500,50000,314,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
021026B,3,SMS_VC_whole_cell_excitation,6,11109,1,4277,Right,24.8277109085608,7.42316404853811,-30.4001815597248,6.24830014048959,-422.14,-65,-408.188224362305,3,114.520073204225,3.95039879744589,-133.545439337818,29.2380448983068,500,50000,439,1000,1000,021026Bc4,OFF transient alpha,ventral down,HFD,4,841,457,DT
